continent,age,year,annual_salary_mean_eur,annual_salary_median_eur
Europe,18-24,2024,22000,18700
Europe,25-34,2024,32000,27200
Europe,35-44,2024,40000,34000
Europe,45-54,2024,42000,35700
Europe,55-64,2024,38000,32300
Europe,65+,2024,28000,23800
Asia,18-24,2024,9000,7650
Asia,25-34,2024,14000,11900
Asia,35-44,2024,20000,17000
Asia,45-54,2024,22000,18700
Asia,55-64,2024,18000,15300
Asia,65+,2024,12000,10200
North America,18-24,2024,30000,25500
North America,25-34,2024,45000,38250
North America,35-44,2024,60000,51000
North America,45-54,2024,65000,55250
North America,55-64,2024,58000,49300
North America,65+,2024,40000,34000
South America,18-24,2024,12000,10200
South America,25-34,2024,18000,15300
South America,35-44,2024,23000,19550
South America,45-54,2024,25000,21250
South America,55-64,2024,21000,17850
South America,65+,2024,14000,11900
Africa,18-24,2024,5000,4250
Africa,25-34,2024,8000,6800
Africa,35-44,2024,12000,10200
Africa,45-54,2024,14000,11900
Africa,55-64,2024,12000,10200
Africa,65+,2024,9000,7650
Oceania,18-24,2024,28000,23800
Oceania,25-34,2024,42000,35700
Oceania,35-44,2024,55000,46750
Oceania,45-54,2024,60000,51000
Oceania,55-64,2024,52000,44200
Oceania,65+,2024,38000,32300
