continent,age,year,remote_work_share_pct
Europe,18-24,2024,18
Europe,25-34,2024,28
Europe,35-44,2024,30
Europe,45-54,2024,26
Europe,55-64,2024,20
Europe,65+,2024,10
Asia,18-24,2024,10
Asia,25-34,2024,16
Asia,35-44,2024,18
Asia,45-54,2024,16
Asia,55-64,2024,12
Asia,65+,2024,7
North America,18-24,2024,22
North America,25-34,2024,34
North America,35-44,2024,36
North America,45-54,2024,32
North America,55-64,2024,24
North America,65+,2024,12
South America,18-24,2024,14
South America,25-34,2024,20
South America,35-44,2024,22
South America,45-54,2024,18
South America,55-64,2024,14
South America,65+,2024,8
Africa,18-24,2024,8
Africa,25-34,2024,12
Africa,35-44,2024,14
Africa,45-54,2024,12
Africa,55-64,2024,10
Africa,65+,2024,6
Oceania,18-24,2024,20
Oceania,25-34,2024,30
Oceania,35-44,2024,32
Oceania,45-54,2024,28
Oceania,55-64,2024,22
Oceania,65+,2024,12
